age,daily_screen_time,social_media_hours,study_hours,sleep_hours,notifications_per_day,focus_score,coffee_per_day,breaks_per_day,night_usage,distraction_score,addiction_level,productivity_score
38.0,9.52,6.95,0.3,8.933780889,145.1012611,84.05,0.0,4.0,1.0,7.43,2,0.323348111
26.0,7.31,2.56,4.0,4.290175259,133.1174186,100.0,4.0,2.0,1.0,5.015,1,52.65465668
20.0,8.77,6.9,6.84,9.439569288,70.16429647,100.0,1.0,6.0,1.0,3.573,2,73.02449276
16.0,6.28,4.59,4.7,8.426227299,163.2670298,100.0,2.0,4.0,1.0,4.83,1,51.50481036
27.0,9.31,6.87,2.21,6.887838613,238.1674654,89.12,1.0,3.0,1.0,8.712,2,4.730280642
15.0,10.24,3.69,3.18,7.780228656,173.9030552,100.0,2.0,3.0,1.0,7.666,1,28.61427362
26.0,3.46,2.53,5.44,4.154597988,11.41346347,100.0,4.0,7.0,0.0,1.258,1,29.19198738
36.0,10.33,7.31,7.13,3.690091033,40.2298215,89.04,2.0,9.0,1.0,3.926,2,18.74682002
26.0,7.4,5.91,0.33,4.712118678,74.91254788,90.6,2.0,2.0,1.0,4.621,2,-2.707917997
39.0,10.45,3.4,0.57,4.063292543,52.77299099,92.02,3.0,4.0,1.0,6.354,1,12.92235201
27.0,6.31,1.98,2.6,6.887897574,168.2583434,100.0,2.0,2.0,1.0,5.875,0,17.04116288
24.0,5.79,3.03,1.86,4.950956303,282.4993414,99.09,3.0,2.0,0.0,7.597,1,21.13426611
30.0,11.15,4.34,2.12,8.543189049,73.7007114,100.0,0.0,3.0,1.0,6.019,1,15.10094293
29.0,4.51,2.86,1.77,6.144798783,302.7887362,89.63,1.0,1.0,0.0,7.664,1,24.35957161
29.0,10.44,8.88,1.57,8.310950059,260.4042759,76.18,2.0,3.0,1.0,9.969,2,-0.548587639
33.0,6.84,3.66,1.04,7.570752882,255.0582042,91.37,0.0,4.0,1.0,8.668,1,2.73347285
26.0,7.14,3.771381605,7.47,6.240161011,72.90053548,100.0,3.0,7.0,1.0,2.629,2,62.14422912
37.0,5.08,1.52,1.15,6.517502160499999,249.8038632,99.26,2.0,3.0,0.0,7.315,0,24.97339856
34.0,7.73,3.1,1.64,6.517502160499999,29.22310594,100.0,2.0,3.0,1.0,3.913,1,9.213697092
39.0,7.0,1.67,1.97,7.217998575,308.3930335,100.0,1.0,2.0,0.0,5.462,0,38.23089301
17.0,3.585,1.19,7.46,7.489392214,578.1048869,100.0,2.0,9.0,0.0,4.757,0,90.01856326
19.0,4.72,3.99,6.05,5.184055393,51.69011218,100.0,2.0,8.0,0.0,5.462,1,37.58976447
33.0,2.06,0.74,6.32,6.517502160499999,236.5365249,100.0,2.0,6.0,0.0,4.274,0,92.34831728
21.0,11.78,7.82,0.84,4.575853707,202.3442252,72.24,4.0,2.0,1.0,9.358,2,0.861193536
35.0,7.0,6.66,6.69,7.537917406,88.44489557,100.0,2.0,7.0,1.0,5.723,2,52.22387832
23.0,5.95,5.14,3.27,5.768112309,164.8234237,87.86,1.0,3.0,0.0,5.514,2,23.05059449
21.0,9.28,3.47,4.1412097370000005,7.459193215,234.3382796,100.0,0.0,4.0,1.0,5.462,1,32.33065848
32.0,5.46,2.33,4.61,8.189544099,283.3395458,100.0,1.0,4.0,0.0,6.407,1,52.74322529
18.0,8.71,3.771381605,6.58,7.196106101,262.6925228,100.0,1.0,7.0,1.0,7.401,1,53.24079208
39.0,10.05,5.63,6.23,5.758822331,251.4533001,100.0,2.0,6.0,1.0,7.776,2,27.06650954
28.0,11.47,5.35,7.12,5.328116427,167.6653558,100.0,3.0,8.0,1.0,7.059,2,57.74357363
32.0,6.0,4.93,7.43,8.484237314,231.4129446,100.0,1.0,5.0,0.0,5.411,1,74.74118616
23.0,9.83,6.52,1.9,6.233620356,87.13248425,83.51,0.0,1.0,1.0,6.465,2,14.86144777
35.0,4.66,3.11,3.39,3.852449517,51.79260973,100.0,3.0,4.0,0.0,2.053,1,28.09844182
16.0,11.9,7.37,0.12,8.035145342,208.9339358,71.21,1.0,3.0,1.0,10.114,2,-3.164315365
34.0,2.26,0.8,7.03,5.624148885,106.0446666,100.0,3.0,9.0,0.0,0.481,0,68.0158691
29.0,8.04,4.56,1.24,4.33432841,165.9822073,77.53,2.0,3.0,1.0,5.462,1,-7.309928062
21.0,8.6,7.74,6.89,9.000535575,64.33312908,100.0,2.0,7.0,1.0,3.453,2,43.99035695
26.0,8.88,7.11,2.64,6.194326577,259.5708045,77.29,1.0,4.0,1.0,8.628,2,5.032141759
22.0,7.0,2.68,2.95,5.196787175,226.331327,100.0,3.0,3.0,0.0,5.695,1,20.81343618
29.0,11.39,9.04,0.31,8.307092496,192.9748384,79.51,2.0,2.0,1.0,9.622,2,-5.541641375
17.0,3.81,1.38,2.62,8.246195159,150.9852149,100.0,1.0,1.0,0.0,4.319,0,65.4243323
28.0,8.23,3.59,7.11,4.125590467,84.45850911,100.0,3.0,5.0,1.0,4.002,1,60.78791695
31.0,6.345,1.28,0.2,7.187214346,402.1068625,100.0,0.0,1.0,0.0,5.775,0,14.74691782
18.0,7.605,3.771381605,3.25,7.484526151,140.756329,100.0,0.0,4.0,0.0,3.02,1,39.26982553
32.0,7.46,2.72,0.25,5.049022476,91.40590192,97.64,2.0,4.0,1.0,5.495,1,13.82814888
22.0,6.17,3.6,2.97,5.981467836,240.3348377,91.85,2.0,2.0,1.0,6.834,1,9.289966515
18.0,3.6,2.54,1.38,3.952870863,181.8422487,94.42,3.0,1.0,0.0,5.186,1,13.38077568
16.0,7.0,3.06,2.02,8.394836835,301.4405372,95.9,2.0,1.0,0.0,5.462,1,25.49926663
27.0,6.18,4.63,7.02,8.78462962,239.7332912,100.0,1.0,6.0,1.0,5.744,1,54.29087697
36.0,9.57,8.26,3.49,4.487817413,159.0842646,87.1,2.0,3.0,1.0,6.838,2,6.953066321
24.0,10.98,3.65,2.19,7.680256561,63.3717558,100.0,2.0,2.0,1.0,5.913,1,22.1987651
18.0,2.84,0.87,4.71,8.273219085,148.3829237,100.0,2.0,3.0,0.0,3.307,0,88.61244883
36.0,5.93,4.13,1.14,5.592043489,184.4296094,95.81,2.0,3.0,0.0,6.663,1,1.302947832
32.0,4.5,1.42,2.08,7.587688064,174.4980593,100.0,0.0,2.0,0.0,2.816,0,26.7967653
26.0,2.17,0.98,4.37,4.809306053,276.9206783,100.0,3.0,2.0,0.0,5.214,0,42.83803396
16.0,8.62,4.3,1.9,8.913042573,238.0058593,100.0,2.0,3.0,1.0,8.84,1,19.2229519
24.0,8.02,3.7,4.1412097370000005,7.042105019,90.60586901,100.0,0.0,9.0,1.0,4.301,1,62.7100573
18.0,3.63,2.2,3.93,7.175522369,110.2930026,100.0,0.0,2.0,0.0,2.476,1,42.62240959
28.0,4.34,2.45,6.18,6.979980273,56.86668676,100.0,2.0,6.0,0.0,1.236,1,76.98147316
30.0,2.24,1.36,7.59,7.079454977,75.28057719,100.0,0.0,8.0,0.0,-0.017,0,101.1835273
29.0,10.35,7.28,0.93,8.955871071,286.4281253,100.0,1.0,2.0,1.0,10.356,2,2.47215087
22.0,11.75,6.25,2.68,6.893214792,114.6722611,100.0,0.0,3.0,1.0,7.171,2,2.660297928
28.0,3.35,1.51,2.56,9.053014083,49.65135532,100.0,2.0,3.0,0.0,1.907,1,53.77875604
37.0,4.31,1.72,1.21,6.517502160499999,205.4233928,100.0,2.0,2.0,0.0,6.272,0,35.12362588
39.0,10.68,5.44,6.48,5.287228757,218.2159897,100.0,4.0,8.0,1.0,7.636,2,53.2147209
22.0,11.26,8.39,6.08,8.462387603,221.1328326,91.34,1.0,7.0,1.0,8.786,2,8.712796961
35.0,6.2,4.67,3.88,7.194780272,198.4466068,94.81,2.0,1.0,1.0,5.936,1,32.82864866
30.0,2.51,1.76,4.3,7.369984058,252.1030254,100.0,1.0,4.0,0.0,5.245,0,59.45250893
27.0,2.39,1.05,0.48,8.551743887,47.42703336,100.0,1.0,2.0,0.0,2.231,0,46.53900908
32.0,7.74,5.05,4.44,5.174937202,172.2749991,96.66,4.0,1.0,1.0,6.058,2,23.24738443
29.0,5.93,3.81,6.33,5.577962933,167.3243295,100.0,1.0,6.0,0.0,4.806,1,57.50452673
35.0,2.29,1.35,4.59,4.839443258,164.3413608,100.0,3.0,2.0,0.0,3.308,0,46.73499454
38.0,7.0,4.93,2.12,7.15838179,140.7397873,98.21,0.0,1.0,1.0,6.259,1,9.529498414
39.0,2.11,1.26,4.1412097370000005,8.035923494,89.73929669,100.0,1.0,8.0,0.0,1.473,0,93.77767008
27.0,7.0,6.31,2.89,9.029027561,173.5325165,94.27,1.0,1.0,1.0,7.568,2,21.71555537
23.0,5.06,3.69,4.36,6.793932895,183.9730292,100.0,2.0,4.0,0.0,5.102,1,36.179356595
29.0,2.4,0.88,3.9,7.555100064,99.58690793,100.0,0.0,4.0,0.0,2.17,0,55.69684974
27.0,7.88,3.771381605,3.05,8.282529278,86.46380891,100.0,2.0,4.0,1.0,5.445,2,6.510880241
15.0,5.98,3.771381605,4.1412097370000005,7.641158538,240.6976961,100.0,0.0,2.0,0.0,5.462,1,62.38351908
39.0,11.74,3.99,7.07,5.382581901,214.6830407,100.0,2.0,7.0,1.0,8.249,1,33.48647593
21.0,7.44,6.59,4.1412097370000005,7.076760724,102.5739224,85.53,0.0,3.0,1.0,5.462,2,36.179356595
23.0,4.75,4.15,7.47,8.941856464,124.8100983,100.0,2.0,7.0,0.0,2.434,1,65.10863392
38.0,9.09,3.06,4.09,9.041678975,178.8621297,100.0,0.0,1.0,1.0,6.878,1,58.94058744
15.0,4.71,2.67,5.61,7.473905101,133.10377,100.0,2.0,9.0,0.0,3.332,1,48.7168027
26.0,11.04,4.55,6.84,8.302593967,67.4741981,100.0,1.0,8.0,1.0,4.328,1,78.03117874
22.0,5.75,3.4,3.74,4.773430849,186.2681977,97.4,2.0,1.0,0.0,5.393,1,13.62942896
38.0,7.5,5.99,6.68,5.328413141,66.23625032,100.0,3.0,8.0,1.0,3.226,2,59.52088668
25.0,2.51,2.18,1.42,8.765392975,94.89390467,100.0,1.0,1.0,0.0,2.489,1,37.11963772
33.0,6.26,4.26,1.27,4.934239684,35.68400929,100.0,2.0,2.0,1.0,3.789,1,5.801779145
31.0,10.32,5.29,5.26,4.637204547,61.60080283,100.0,3.0,5.0,1.0,4.882,2,13.64459277
22.0,10.06,6.66,6.96,6.405620116,248.5833258,97.58,1.0,9.0,1.0,7.702,2,33.530589
17.0,4.24,2.07,7.14,7.150616435,223.7581164,100.0,2.0,8.0,0.0,4.278,1,81.55965347
17.0,4.26,3.6,5.15,6.647632492,293.6969405,100.0,0.0,5.0,0.0,6.025,1,58.31997373
27.0,10.17,8.36,4.2,5.461928915,246.8019212,81.79,3.0,2.0,1.0,8.925,2,0.619272798
19.0,7.0,7.17,2.65,8.738910852,165.9822073,98.2,1.0,3.0,1.0,5.462,2,6.147915769
24.0,2.95,3.771381605,7.84,8.692987084,134.2446005,100.0,1.0,7.0,0.0,1.343,1,93.52534048
21.0,6.5,3.09,2.56,6.570495987,101.1521362,100.0,3.0,1.0,1.0,4.782,1,15.49481624
23.0,5.37,1.72,5.95,6.039173706,247.6955983,100.0,2.0,7.0,0.0,5.84,0,55.74092302
21.0,10.71,8.46,4.26,7.159142522,255.8343944,80.78,0.0,3.0,1.0,9.157,2,-2.641414301
23.0,2.84,1.62,4.87,7.260690327,141.5492987,100.0,1.0,4.0,0.0,2.379,0,79.29206263
22.0,4.11,2.03,3.15,5.840694574,261.4552465,100.0,4.0,4.0,0.0,6.53,1,25.92116716
26.0,9.52,5.55,7.72,5.584084015,123.5595311,100.0,1.0,6.0,1.0,5.624,2,57.92769167
16.0,2.51,1.99,4.57,5.787116498,148.1556518,100.0,3.0,1.0,0.0,3.124,0,34.18283444
15.0,6.93,2.6,7.5,4.314824573,243.2369468,100.0,2.0,6.0,1.0,6.395,1,74.29289811
30.0,6.42,5.23,0.06,5.770983766,278.9953612,76.03,2.0,2.0,1.0,8.892,2,0.721567801
37.0,5.34,4.48,4.58,7.320965303,82.95135752,100.0,1.0,4.0,0.0,2.896,1,51.87235284
37.0,5.95,5.16,5.74,7.274059032,51.2496293,100.0,0.0,5.0,0.0,2.093,2,56.87225557
38.0,7.0,3.93,5.96,7.339445372,17.70469622,100.0,1.0,6.0,1.0,2.462,1,60.64682374
19.0,3.61,1.55,7.24,5.555157856,16.4774258,100.0,3.0,5.0,0.0,0.333,0,83.97746692
17.0,7.72,4.05,0.04,7.85509882,93.37300309,100.0,0.0,1.0,1.0,5.208,1,0.141058514
26.0,10.05,5.02,0.0,3.639418859,197.8177899,75.29,3.0,2.0,1.0,8.805,2,-1.361205914
22.0,9.6,3.89,3.78,5.412930998,153.3777894,97.3,0.0,4.0,1.0,6.426,1,42.41304062
36.0,3.54,2.35,0.23,7.937942078,54.16956886,100.0,1.0,3.0,0.0,2.921,1,22.70675184
17.0,3.49,2.05,7.8,7.171768753,35.18857915,100.0,2.0,4.0,0.0,-0.015,1,92.9941985
15.0,7.02,3.83,1.78,6.333544259,116.4023006,100.0,1.0,3.0,0.0,5.462,1,46.45542337
17.0,5.61,1.79,3.78,6.718488213,294.8059865,100.0,2.0,1.0,0.0,7.351,0,70.98112421
19.0,6.08,4.17,0.49,8.34988665,240.6000341,95.64,1.0,1.0,1.0,7.413,1,36.179356595
29.0,8.8,6.67,4.18,7.164024665,198.2190676,91.39,0.0,1.0,1.0,6.866,2,16.12335863
28.0,2.57,1.94,3.04,8.330362888,30.63923945,100.0,1.0,3.0,0.0,0.793,0,61.53645596
17.0,2.35,1.95,0.36,9.322696994,81.861071,100.0,0.0,1.0,0.0,2.807,0,36.39415067
15.0,5.92,4.37,2.68,6.995253366,200.5925471,100.0,2.0,1.0,0.0,6.736,1,33.72627245
19.0,8.97,7.68,3.13,7.938202284,162.1459101,97.4,0.0,4.0,1.0,6.706,1,20.98872833
37.0,3.93,1.96,7.92,4.162126615,55.08880909,100.0,4.0,6.0,0.0,0.709,0,85.67720063
28.0,8.42,5.07,1.66,6.436224997,213.2606427,87.44,4.0,1.0,1.0,8.452,2,-3.829257907
21.0,4.6,1.42,4.36,5.791985836,286.4931269,100.0,1.0,3.0,0.0,6.932,0,52.67984789
23.0,10.86,3.3,7.9,8.027715625,195.8922425,100.0,0.0,5.0,1.0,7.04,1,99.19542059
29.0,10.96,4.87,6.34,6.566839767,22.32421747,100.0,2.0,9.0,1.0,4.058,1,53.25048284
29.0,4.97,1.79,7.95,8.815659217,162.9204352,100.0,2.0,5.0,0.0,3.08,0,100.2496292
24.0,4.3,1.96,7.75,4.856306698,146.0252786,100.0,3.0,5.0,0.0,2.865,0,69.05785094
27.0,6.11,2.48,3.92,7.492765337,116.163855,100.0,1.0,1.0,1.0,4.239,1,53.09215395
33.0,4.41,1.4,5.57,5.63740708,184.3070884,100.0,1.0,8.0,0.0,4.114,0,86.83571828
21.0,8.72,7.37,0.88,6.214587867,270.7337604,78.44,1.0,1.0,1.0,9.196,2,1.283100545
31.0,10.26,3.13,3.53,7.812281011,180.2505288,100.0,1.0,3.0,1.0,7.391,1,37.90608633
34.0,8.73,6.47,6.47,5.689747805,118.7154041,100.0,3.0,6.0,1.0,5.104,2,48.9064253
18.0,10.24,4.01,4.04,3.786445633,3.064204196,100.0,3.0,4.0,1.0,4.368,1,31.78511128
19.0,5.97,5.06,5.62,7.244697369,104.9444014,100.0,2.0,8.0,0.0,3.419,2,30.0719862
37.0,3.56,2.98,5.97,5.731296252,82.84640382,100.0,1.0,9.0,0.0,1.289,1,66.27243003
21.0,9.38,6.49,2.03,7.030762261,122.9424146,95.62,0.0,1.0,1.0,6.121,2,9.988581691
27.0,5.6,3.94,7.01,8.459285559,197.6938652,100.0,1.0,6.0,0.0,4.157,1,91.03870993
29.0,8.71,2.64,3.68,4.466616278,117.443818,100.0,4.0,3.0,1.0,5.851,1,47.96587983
25.0,4.71,4.2,1.68,6.760072742,136.0660317,98.23,1.0,1.0,0.0,4.571,1,19.12434858
18.0,2.81,2.32,6.92,7.332174723,116.9772729,100.0,2.0,5.0,0.0,1.649,1,84.04171466
27.0,11.93,9.99,3.34,9.170999277,210.1203955,85.75,0.0,4.0,1.0,9.123,2,-1.081547761
21.0,3.56,2.48,6.0,9.259118188,92.14949245,100.0,2.0,5.0,0.0,2.12,1,65.90544816
33.0,11.88,6.02,4.38,7.564204584,143.0964712,100.0,2.0,3.0,1.0,6.746,2,41.80957792
36.0,11.77,9.84,3.05,6.574211295,40.22744509,80.82,2.0,2.0,1.0,5.87,2,2.23629736
16.0,9.94,4.72,6.48,4.833688741,56.73439372,100.0,4.0,5.0,1.0,4.026,1,46.57553451
24.0,8.59,5.48,4.68,6.635024599,149.2615404,100.0,3.0,1.0,1.0,5.791,2,16.21516287
27.0,7.78,2.8,3.12,6.961334594,214.8724225,100.0,1.0,1.0,1.0,7.294,1,32.12683189
39.0,10.66,9.09,0.88,6.517502160499999,55.45839637,76.81,2.0,2.0,1.0,6.066,2,-6.804713681
35.0,4.89,1.88,7.16,7.127021209,234.963861,100.0,1.0,9.0,0.0,5.317,0,87.50420302
20.0,6.68,2.91,0.28,7.674164524,69.24508149,100.0,2.0,2.0,1.0,4.536,1,12.60087895
26.0,8.19,5.2,6.91,5.284078705,194.6611664,100.0,1.0,8.0,1.0,6.182,2,52.17538559
26.0,6.11,4.63,2.88,7.663332071,76.2622985,100.0,1.0,1.0,1.0,3.611,1,26.44399551
34.0,6.27,4.21,5.11,4.553211985,67.67789899,100.0,2.0,7.0,1.0,3.022,1,43.7104595
25.0,5.3,2.33,7.38,4.822365198,88.91194799,100.0,2.0,5.0,0.0,2.396,1,71.17341624
37.0,7.64,2.3,1.21,4.865822848,78.0768045,100.0,2.0,3.0,1.0,4.817,1,14.00168662
39.0,10.51,7.93,4.54,8.696267064,242.6124796,86.69,2.0,1.0,1.0,8.873,2,8.718898145
21.0,4.02,3.58,4.1412097370000005,4.120551009,48.84347186,100.0,4.0,2.0,0.0,5.462,1,39.82043361
27.0,11.34,8.91,6.06,8.111653632,253.186496,93.23,2.0,9.0,1.0,9.172,2,0.663651719
15.0,8.89,5.12,4.21,5.79815615,165.9822073,98.45,3.0,3.0,1.0,5.462,2,8.978265919
39.0,10.23,8.62,5.0,6.127739719,49.04363889,100.0,1.0,1.0,1.0,4.435,2,22.81975134
39.0,7.56,4.13,6.06,6.517502160499999,143.2168657,100.0,1.0,7.0,1.0,4.942,1,70.62341786
34.0,9.8,6.03,6.73,7.349768454,16.64628845,100.0,2.0,6.0,1.0,3.401,2,44.34495856
27.0,2.16,1.27,6.09,4.94715318,299.6945104,100.0,2.0,6.0,0.0,5.073,0,55.35923035
23.0,10.18,5.79,2.83,5.648225377,52.4604199,87.06,2.0,3.0,1.0,5.501,2,1.053877025
17.0,2.4,1.84,7.97,7.86660827,165.9822073,100.0,0.0,5.0,0.0,5.462,0,104.309963
21.0,10.9,6.72,3.48,5.587336873,95.18523562,96.54,0.0,3.0,1.0,6.086,2,8.312599409
20.0,11.92,5.84,0.2,7.397452734,290.8620394,75.6,0.0,4.0,1.0,11.2,2,9.533698824
22.0,4.94,2.25,2.9,5.227286803,107.8000475,100.0,0.0,3.0,0.0,3.44,1,33.67210816
23.0,4.1,1.32,1.02,6.23013795,87.04702625,100.0,4.0,1.0,1.0,3.544,0,32.55443917
19.0,9.65,6.27,0.97,5.051030296,219.6613247,73.4,2.0,1.0,1.0,5.462,2,-8.62064203
15.0,7.0,1.98,2.25,7.554657075,224.9401847,100.0,0.0,2.0,0.0,5.75,0,41.12739149
33.0,10.66,4.15,0.43,6.517502160499999,150.0415199,90.94,0.0,4.0,1.0,8.741,1,0.863613745
24.0,7.0,2.1,5.51,5.128090951,34.870255,100.0,3.0,6.0,0.0,5.462,1,67.17110279
26.0,3.26,2.31,0.59,7.967988835,115.2439243,100.0,0.0,1.0,0.0,3.253,1,31.9387581
38.0,11.79,8.86,4.1412097370000005,8.621958674,259.8785872,77.07,0.0,3.0,1.0,5.462,2,5.767314235
29.0,8.74,5.26,0.74,8.177108514,170.5765739,95.76,0.0,3.0,1.0,7.728,1,36.179356595
36.0,10.47,8.76,0.51,4.985934645,70.17627197,71.36,2.0,4.0,1.0,6.962,2,1.646720639
38.0,5.24,4.52,2.14,5.815634356,165.9822073,96.78,4.0,2.0,0.0,5.118,1,-6.675424214
23.0,8.76,6.87,4.58,8.049565933,65.91213558,100.0,1.0,2.0,1.0,4.206,2,45.81653597
34.0,7.94,5.41,7.72,4.890044668,43.27540572,100.0,2.0,9.0,1.0,2.354,2,60.5953993
31.0,12.045,3.87,7.0,3.905073231,424.0066261,100.0,4.0,7.0,1.0,6.075,1,52.79989397
31.0,8.83,7.86,7.01,8.389954374,62.66309589,100.0,0.0,6.0,1.0,3.252,2,36.179356595
34.0,7.75,3.6,1.41,5.502196876,196.312469,89.79,3.0,4.0,1.0,7.092,1,19.45685748
26.0,6.29,3.771381605,2.12,5.708805281,67.58317004,100.0,2.0,1.0,1.0,3.989,1,33.20790069
21.0,4.76,2.69,0.61,6.222752481,309.8579865,85.99,2.0,2.0,0.0,8.057,1,25.33682207
16.0,9.69,3.24,6.23,8.429395368,102.8604704,100.0,0.0,5.0,1.0,5.396,1,73.91149242
17.0,4.26,3.78,0.56,5.30982171,76.93771087,96.82,2.0,4.0,0.0,3.182,1,4.810946962
31.0,8.92,5.83,4.45,9.092975267,284.0924772,93.21,2.0,2.0,1.0,8.765,2,53.80974289
19.0,4.33,2.75,1.98,6.141242448,193.66003,100.0,0.0,3.0,0.0,5.371,1,31.75096108
31.0,8.25,5.72,1.95,6.086730389,238.2212135,85.9,2.0,3.0,1.0,8.08,2,-4.139726003
38.0,9.47,5.67,7.93,6.641878798,71.86085478,100.0,2.0,8.0,1.0,3.716,2,59.9928721
27.0,4.19,1.34,6.05,5.121127748,98.80399613,100.0,4.0,5.0,0.0,1.86,0,67.33570472
31.0,2.6,1.74,6.7,7.458356527,29.50459832,100.0,2.0,9.0,0.0,-0.21,0,36.179356595
16.0,3.31,3.771381605,4.58,6.686145312,180.6440631,100.0,2.0,1.0,0.0,3.621,1,54.80452205
16.0,8.06,4.43,6.97,8.203687507,235.8484756,100.0,1.0,5.0,1.0,6.539,1,100.973157
36.0,10.49,7.91,5.16,5.96133753,165.9822073,90.07,1.0,9.0,1.0,5.462,2,18.11420013
37.0,2.45,1.07,7.57,6.691368605,111.0185497,100.0,0.0,5.0,0.0,1.034,0,104.0820317
19.0,9.34,4.04,2.25,6.037400575,183.7603098,92.22,0.0,4.0,1.0,7.575,1,21.44742639
15.0,5.41,2.15,4.76,7.765560194,53.94525697,100.0,2.0,4.0,0.0,2.597,1,63.58087924
15.0,6.79,3.55,5.52,6.36983264,182.0877802,100.0,2.0,5.0,1.0,5.359,1,40.12349343
33.0,11.29,9.12,3.14,5.407891978,148.4595885,70.11,4.0,1.0,1.0,8.183,2,-6.599749125
16.0,5.32,4.24,7.04,8.368913835,234.4640294,100.0,0.0,9.0,0.0,5.528,1,66.73968361
35.0,6.65,3.52,7.84,6.517502160499999,212.410676,100.0,0.0,9.0,1.0,4.513,1,90.28901431
26.0,2.14,1.4,3.95,6.517502160499999,191.3700034,100.0,0.0,2.0,0.0,3.485,0,66.45095911
20.0,2.82,2.07,3.13,6.517502160499999,275.8268868,100.0,0.0,4.0,1.0,5.791,1,39.7536071
37.0,4.59,2.04,3.78,7.778363714,58.86343785,100.0,2.0,3.0,0.0,2.661,1,72.8320917
18.0,2.28,0.91,6.82,6.060876957,182.0699367,100.0,3.0,6.0,0.0,2.494,0,83.73557038
37.0,8.31,7.34,5.16,3.781653296,74.486222,87.29,3.0,6.0,1.0,4.067,2,2.827357782
25.0,6.26,4.2,4.1412097370000005,7.79768634,225.2197131,88.11,0.0,1.0,1.0,7.862,1,-1.269538521
38.0,7.48,6.65,4.34,4.95805325,265.6890799,88.47,2.0,2.0,1.0,7.898,2,7.082293138
31.0,3.75,1.88,0.14,6.621544155,78.99517558,100.0,1.0,2.0,0.0,3.573,0,19.84158357
20.0,4.96,3.58,6.23,4.665801984,88.00924986,100.0,4.0,9.0,0.0,2.051,1,61.31522175
38.0,8.64,3.75,2.63,6.17676804,255.375963,96.7,3.0,1.0,1.0,8.811,1,17.91122919
19.0,11.65,3.771381605,3.78,4.64479118,79.92655626,92.54,3.0,4.0,1.0,5.871,2,14.7351712
34.0,2.5,3.771381605,6.39,5.946274044,153.1025398,100.0,2.0,7.0,0.0,2.473,0,72.52316923
16.0,10.9,5.36,0.37,6.87788616,310.2700457,74.45,2.0,1.0,1.0,11.039,2,-4.432721827
20.0,7.77,3.11,1.27,4.944087088,175.2096563,97.65,4.0,3.0,1.0,6.644,1,12.36402021
36.0,7.0,3.771381605,3.18,6.657987444,246.6321588,99.05,3.0,3.0,0.0,5.462,1,15.56746996
25.0,7.0,2.25,1.84,8.189593372,177.0876018,100.0,2.0,3.0,1.0,6.768,1,40.1657331
30.0,2.69,1.94,2.7,6.931127047,220.8924773,100.0,0.0,2.0,0.0,4.615,0,54.98857319
30.0,2.9,1.73,7.99,9.037427845,249.8267841,100.0,1.0,8.0,0.0,4.233,0,36.179356595
15.0,8.01,2.86,6.6,8.932040856,214.3007297,100.0,2.0,8.0,1.0,6.625,1,77.74071263
